Atala,5249
Ahkionkatu,5251
Nikinväylä,5083
Orimuspolku,5141
Leinolan koulu,4573
Piettasenristi,4575
Piettasenkatu,4577
Pikkupiiankatu,4579
Mäentakusenkatu,4563
Linnainmaa D,5081
Niihamankatu P,5119
Alasjärvi,5117
Tenniskeskus,5043
Ali-Huikkaantie,5041
Kaupin kampus,5107
